id,mark,model,year,mileage,body_type,color,engine_vol,fuel,gearbox,cleared,price
0,VAZ,2107,2000,27000,Sedan,Green,1500,Gas / petrol,Mechanical,1.0,692
1,SsangYong,Korando,2013,76000,SUV / Crossover,Black,2000,Diesel,Automatic,1.0,12600
2,Suzuki,Vitara,1998,2000,SUV / Crossover,Cherry,1600,Gas / petrol,Mechanical,1.0,8150
3,Land Rover,Range Rover,2018,6,SUV / Crossover,Black,2000,Diesel,Automatic,1.0,77222
4,Daewoo,Sens,2004,148000,Sedan,Green,1300,Petrol,Mechanical,1.0,2400
5,Ford,Sierra,1988,170000,Hatchback,Asphalt,1600,Petrol,Mechanical,1.0,1600
6,GAZ,3302 Газель,2007,212,Other,Blue,2264,Gas / petrol,Mechanical,1.0,5500
7,VAZ,21099,1992,0,Hatchback,White,15,Gas / petrol,Mechanical,1.0,1700
8,Subaru,XV,2016,63000,SUV / Crossover,Silver,2000,Petrol,Variator,1.0,18800
9,Volkswagen,Caddy,2009,191,Passenger van (up to 1.5 tons),White,19,Diesel,Mechanical,1.0,9250
10,VAZ,2101,1985,0,Sedan,Red,1300,Gas / petrol,Mechanical,1.0,800
11,Chery,Kimo (A1),2008,68000,Hatchback,Blue,1300,Petrol,Mechanical,1.0,3800
12,BMW,3 серия,1998,265000,Sedan,Black,2000,Diesel,Mechanical,1.0,5999
13,Mercedes-Benz,220,2014,93000,Sedan,White,2196,Diesel,Automatic,1.0,19500
14,BMW,5 серия,1997,1000,Sedan,Blue,2500,Diesel,Mechanical,0.0,0
15,Skoda,Octavia,2012,212,Universal,Black,16,Diesel,Mechanical,1.0,9900
16,BMW,3 серия,1988,1111111,Sedan,White,2800,Petrol,Mechanical,1.0,1980
17,VAZ,2107,2002,73,Sedan,Cherry,15,Gas / petrol,Mechanical,1.0,2076
18,Hyundai,i30,2008,179000,Universal,Asphalt,1600,Diesel,Mechanical,1.0,6500
19,Volkswagen,Golf,2000,240000,Hatchback,White,1900,Diesel,Mechanical,1.0,5499
20,VAZ,2109,1989,90000,Hatchback,White,1300,Gas / petrol,Mechanical,1.0,1250
